ProductType,Billing_Start_Date,NRC,MRC,state,country
Project Item,2020-03-09,2387,0,Michigan,United States
Project Item,2020-03-09,9114,0,Illinois,United States
Project Item,2020-03-23,47590,0,California,United States
Project Item,2020-04-01,33700,0,Georgia,United States
Project Item,2020-04-01,76300,0,Georgia,United States
Project Item,2020-04-01,77197,0,Tennessee,United States
Project Item,2020-04-01,156,0,Tennessee,United States
GIS,2020-04-02,4000,12500,California,United States
Project Item,2020-04-06,1020,0,Maryland,United States
Project Item,2020-04-10,920274,0,District of Columbia,United States
Project Item,2020-04-10,6076,0,Pennsylvania,United States
Project Item,2020-04-10,3000,0,California,United States
Project Item,2020-04-10,427226,0,District of Columbia,United States
Project Item,2020-04-20,650,0,Michigan,United States
Project Item,2020-04-22,55170,0,South Carolina,United States
Project Item,2020-04-22,19760,0,Florida,United States
Project Item,2020-04-29,1612,0,California,United States
Project Item,2020-04-29,700,0,California,United States
Project Item,2020-04-29,14933,0,California,United States
Project Item,2020-04-29,10164,0,California,United States
Project Item,2020-04-30,18331,0,California,United States
Project Item,2020-04-30,1800,0,California,United States
CPE(EI),2020-05-07,0,123,Georgia,United States
In-house wiring,2020-05-19,0,250,Virginia,United States
Project Item,2020-05-22,35201,0,Illinois,United States
Project Item,2020-05-25,9359,0,California,United States
Project Item,2020-05-25,15348,0,California,United States
Project Item,2020-06-01,12000,0,District of Columbia,United States
In-house wiring,2020-06-02,0,250,Virginia,United States
Project Item,2020-06-03,91579,0,New York,United States
Project Item,2020-06-03,20167,0,Texas,United States
Project Item,2020-06-03,15700,0,Texas,United States
Project Item,2020-06-03,1100,0,Wisconsin,United States
Project Item,2020-06-03,40318,0,Texas,United States
GIS2.0,2020-06-04,0,1500,California,United States
Project Item,2020-06-04,7039,0,Michigan,United States
Project Item,2020-06-05,2400,0,Ohio,United States
GIS2.0,2020-06-08,300,12250,California,United States
In-house wiring,2020-06-09,0,250,Virginia,United States
Project Item,2020-06-11,1280,0,Alabama,United States
Project Item,2020-06-11,4400,0,Alabama,United States
Project Item,2020-06-22,1080,0,Texas,United States
Project Item,2020-06-22,7170,0,Texas,United States
Netcare,2020-06-23,0,85,Washington,United States
CPE(EI),2020-06-23,0,250,Washington,United States
Project Item,2020-06-25,800,59,District of Columbia,United States
Project Item,2020-06-30,33652,0,Michigan,United States
Project Item,2020-07-15,1728,0,Wisconsin,United States
Project Item,2020-07-15,2805,0,Illinois,United States
Project Item,2020-07-15,467,0,Wisconsin,United States
Project Item,2020-07-15,3894,0,New Jersey,United States
GIS,2020-07-16,200,700,Virginia,United States
GIS,2020-07-16,200,700,Virginia,United States
Project Item,2020-07-17,852172,0,District of Columbia,United States
Project Item,2020-07-26,74480,0,California,United States
Project Item,2020-07-26,1627,0,California,United States
Project Item,2020-07-27,7146,0,South Carolina,United States
In-house wiring,2020-07-31,489,326,California,United States
In-house wiring,2020-07-31,489,326,California,United States
In-house wiring,2020-07-31,489,326,California,United States
In-house wiring,2020-07-31,489,326,California,United States
Project Item,2020-08-05,1575,0,New Jersey,United States
Project Item,2020-08-15,5860,0,New York,United States
In-house wiring,2020-08-17,1300,300,California,United States
GIS,2020-08-17,185,506,California,United States
GIS,2020-08-21,0,1600,California,United States
GIS,2020-08-24,0,3340,District of Columbia,United States
Project Item,2020-08-26,0,59,District of Columbia,United States
Project Item,2020-08-28,9486,0,California,United States
Project Item,2020-08-31,987,0,Michigan,United States
Project Item,2020-09-09,25653,0,New York,United States
Project Item,2020-09-09,43221,0,New York,United States
Project Item,2020-09-09,24750,0,Texas,United States
In-house wiring,2020-09-10,0,250,Virginia,United States
GIS2.0,2020-09-10,0,6000,California,United States
Project Item,2020-09-15,243479,0,Wisconsin,United States
Project Item,2020-09-15,93002,0,Wisconsin,United States
Project Item,2020-09-16,8950,0,District of Columbia,United States
Project Item,2020-09-16,739,0,Michigan,United States
Project Item,2020-09-16,83514,0,District of Columbia,United States
Project Item,2020-09-16,1000,0,Michigan,United States
Project Item,2020-09-16,230,0,District of Columbia,United States
Project Item,2020-09-16,0,59,District of Columbia,United States
Project Item,2020-09-16,67650,0,District of Columbia,United States
In-house wiring,2020-09-22,300,200,California,United States
GIS,2020-09-27,350,300,Virginia,United States
IDC,2020-09-29,13752,6948,California,United States
Project Item,2020-09-29,16166,0,Texas,United States
Project Item,2020-09-30,2680,0,California,United States
Project Item,2020-09-30,220,0,California,United States
IDC,2020-10-01,0,87420,California,United States
IDC,2020-10-01,906,6001,California,United States
IDC,2020-10-01,906,6001,California,United States
Project Item,2020-10-05,36023,0,Virginia,United States
Project Item,2020-10-23,6930,0,District of Columbia,United States
Project Item,2020-10-23,751,0,District of Columbia,United States
IDC,2020-10-23,1400,2966,California,United States
In-house wiring,2020-10-27,0,250,Virginia,United States
CPE(EI),2020-10-30,0,253,California,United States
Project Item,2020-11-03,435,0,Ohio,United States
Project Item,2020-11-03,686,0,Ohio,United States
Project Item,2020-11-12,9017,0,District of Columbia,United States
Project Item,2020-11-16,10150,0,New York,United States
Project Item,2020-11-19,1195,0,Illinois,United States
Project Item,2020-11-23,22000,0,New Jersey,United States
GIS2.0,2020-11-23,300,1450,California,United States
Project Item,2020-11-23,27875,0,New Jersey,United States
Project Item,2020-11-25,110492,0,California,United States
Project Item,2020-11-25,124512,0,California,United States
In-house wiring,2020-11-25,300,200,California,United States
Project Item,2020-12-01,36000,0,Illinois,United States
Project Item,2020-12-01,55857,0,Illinois,United States
Project Item,2020-12-01,38243,0,Florida,United States
Project Item,2020-12-01,1705,0,New York,United States
IEPL,2020-12-03,0,850,District of Columbia,United States
Project Item,2020-12-05,1300,0,California,United States
Project Item,2020-12-10,1500,0,Texas,United States
Project Item,2020-12-10,5500,0,California,United States
Project Item,2020-12-10,7000,0,California,United States
In-house wiring,2020-12-15,400,245,Oregon,United States
Project Item,2020-12-17,3000,0,Texas,United States
Project Item,2020-12-17,2496,0,Texas,United States
Project Item,2020-12-18,1250,0,New Jersey,United States
Project Item,2020-12-31,15733,0,California,United States
Project Item,2020-12-31,4927,0,California,United States
Project Item,2021-01-04,210,0,California,United States
Project Item,2021-01-04,1000,0,California,United States
