ProductType,CircuitStatus,Billing_Start_Date,Currency,NRC,MRC,Bandwidth,city,state,country
CPE(EI),ACTIVE,2019-11-05,USD,0.0,175.0,0,Englewood,Colorado,United States
GIS2.0,ACTIVE,2019-11-07,USD,1336.5,928.0,0,Hong Kong,Hong Kong,China
Local Internet Access,ACTIVE,2019-11-07,USD,1000.0,2000.0,100,Shanghai,Shanghai,China
GIS2.0,ACTIVE,2019-11-07,USD,2350.0,1300.0,0,Hong Kong,Hong Kong,China
In-house wiring,ACTIVE,2019-11-08,USD,0.0,250.0,0,Sterling,Virginia,United States
In-house wiring,ACTIVE,2019-11-11,USD,0.0,250.0,0,Sterling,Virginia,United States
GIS2.0,ACTIVE,2019-11-12,USD,450.0,3700.0,0,Sao Paulo,Sao Paulo,Brazil
GIS2.0,ACTIVE,2019-11-12,USD,450.0,3700.0,0,Sao Paulo,Sao Paulo,Brazil
IEPL,ACTIVE,2019-11-13,USD,680.0,8900.0,100,Shanghai,Beijing,China
Local Internet Access,ACTIVE,2019-11-14,USD,0.0,860.0,100,Yangzhou,Jiangsu,China
IDC,ACTIVE,2019-11-16,CNY,1571.4285714285713,2562.8571428571427,0,Shanghai,Shanghai,China
Local Internet Access,ACTIVE,2019-11-19,USD,1000.0,920.0,100,Suzhou,Jiangsu,China
GIS,ACTIVE,2019-11-19,USD,267.91,2413.42,0,Culver City,California,United States
In-house wiring,ACTIVE,2019-11-25,USD,0.0,250.0,0,Sterling,Virginia,United States
Local Internet Access,ACTIVE,2019-11-26,CNY,514.2857142857143,714.2857142857143,20,Beijing,Beijing,China
In-house wiring,ACTIVE,2019-11-28,USD,300.0,250.0,0,Hong Kong,Hong Kong,China
Managed/Maintenance Service,ACTIVE,2019-11-29,CNY,214.28571428571428,292.85714285714283,0,Shanghai,Shanghai,China
Netcare,ACTIVE,2019-12-01,USD,0.0,65.0,0,Shanghai,Shanghai,China
GIS2.0,ACTIVE,2019-12-01,USD,0.0,6000.0,0,San Jose,California,United States
